,Date,Open,High,Low,Close,Volume,Change
0,2015-07-22,15214,19779,15214,19779,62177,
1,2015-07-23,25674,25674,25674,25675,291207,0.29809393801506645
2,2015-07-24,27909,33377,26863,33377,2380275,0.2999805258033106
3,2015-07-27,35421,36705,32378,34186,1023806,0.024238247895257192
4,2015-07-28,33282,34185,31285,32997,536769,-0.03478031942900606
5,2015-07-29,31903,39748,31380,34471,1833891,0.04467072764190694
6,2015-07-30,35516,37466,29478,29716,711812,-0.13794203823503814
7,2015-07-31,31142,33329,30191,31903,611115,0.07359671557410152
8,2015-08-03,30762,31332,28289,28575,324973,-0.10431620850703693
9,2015-08-04,28099,30857,27101,29669,482722,0.03828521434820642
10,2015-08-05,29193,30904,28955,29146,166281,-0.01762782702484078
11,2015-08-06,29668,31190,29145,30429,267771,0.044019762574624366
12,2015-08-07,29811,32283,29621,30334,226923,-0.0031220217555620877
13,2015-08-10,30762,31237,28575,29336,166011,-0.032900375815916094
14,2015-08-11,29335,31950,29003,30097,299895,0.02594082356149441
15,2015-08-12,29953,30286,26768,28147,247931,-0.06479051068212782
16,2015-08-13,28432,31142,27814,30429,317629,0.0810743596120369
17,2015-08-17,30239,31950,30049,31761,228277,0.04377403135167102
18,2015-08-18,31523,31855,28242,29954,234063,-0.056893674632410796
19,2015-08-19,29478,30190,27671,28528,154790,-0.047606329705548456
20,2015-08-20,27861,28811,25674,25675,176793,-0.10000701065619744
21,2015-08-21,23296,24437,21752,23773,451951,-0.07407984420642644
22,2015-08-24,23773,25151,23392,23725,222934,-0.00201909729525096
23,2015-08-25,24533,24723,23653,24296,229211,0.02406743940990519
24,2015-08-26,24200,24914,22251,24391,275615,0.003910108659861633
25,2015-08-27,24866,25911,24058,24724,254760,0.013652576770120106
26,2015-08-28,25198,26197,25056,25294,126838,0.023054521922019067
27,2015-08-31,25199,25912,23915,25675,157964,0.015062860757491858
28,2015-09-01,26578,27291,25056,25152,133781,-0.02037000973709835
29,2015-09-02,24248,24676,23725,24058,107579,-0.04349554707379133
30,2015-09-03,24391,25009,23915,24058,53345,0.0
31,2015-09-04,24058,24343,21015,21396,185288,-0.11064926427799482
32,2015-09-07,21585,21609,19684,20112,173849,-0.060011217049915855
33,2015-09-08,20016,20302,17639,18400,293330,-0.08512330946698488
34,2015-09-09,19018,20634,18923,20540,243800,0.116304347826087
35,2015-09-10,19969,21776,19826,20873,97632,0.01621226874391435
36,2015-09-11,21348,22085,20991,20992,60746,0.005701145019882059
37,2015-09-14,21015,21134,19969,20778,34803,-0.010194359756097615
38,2015-09-15,20397,21514,20397,20801,35867,0.001106940032726822
39,2015-09-16,21276,22203,20730,22204,77321,0.0674486803519061
40,2015-09-17,22203,22536,20872,20920,51573,-0.0578274184831562
41,2015-09-18,21443,23582,21110,23583,147147,0.1272944550669215
42,2015-09-21,22845,23677,22584,23630,59326,0.001992961031251239
43,2015-09-22,23297,24771,22798,24058,66365,0.018112568768514636
44,2015-09-23,23582,25104,23582,23773,84694,-0.011846371269432221
45,2015-09-24,24153,24961,23820,24391,64531,0.025995877676355583
46,2015-09-25,24581,24581,23558,24391,51451,0.0
47,2015-09-30,23297,23297,22108,22798,73521,-0.06531097535976382
48,2015-10-01,23154,23606,22940,23155,28222,0.01565926835687348
49,2015-10-02,23154,23701,22465,22679,27984,-0.02055711509393221
50,2015-10-05,23059,23701,22726,22798,21504,0.005247144935843773
51,2015-10-06,22750,23131,21657,21919,43548,-0.03855601368541095
52,2015-10-07,21776,21799,20159,20896,99935,-0.046671837218851264
53,2015-10-08,21157,21562,19755,20492,53385,-0.019333843797856076
54,2015-10-12,20302,20611,19256,19565,74253,-0.045237165723209016
55,2015-10-13,19375,19565,17948,18543,148595,-0.05223613595706622
56,2015-10-14,18733,18733,17687,18044,75339,-0.026910424418918222
57,2015-10-15,18067,18305,17045,17473,201340,-0.03164486810019951
