,Date,Open,High,Low,Close,Volume,Change
0,2016-10-28,35700,41950,31250,31250,2969149,
1,2016-10-31,31250,34600,29500,32500,532233,0.040000000000000036
2,2016-11-01,32500,33850,30050,32850,362493,0.010769230769230864
3,2016-11-02,32249,32550,30750,30800,151681,-0.06240487062404876
4,2016-11-03,30599,32300,29950,30500,131901,-0.009740259740259716
5,2016-11-04,30799,31450,30450,30650,66625,0.004918032786885185
6,2016-11-07,31000,33150,30750,32550,140923,0.06199021207177813
7,2016-11-08,32900,33250,31800,32450,99705,-0.003072196620583667
8,2016-11-09,32300,32500,29100,31250,186069,-0.036979969183358996
9,2016-11-10,31750,33300,31250,33150,108460,0.060799999999999965
10,2016-11-11,33150,34700,32700,33850,85316,0.02111613876319751
11,2016-11-14,33500,33850,32000,32500,84519,-0.03988183161004433
12,2016-11-15,32100,32450,29950,30400,105952,-0.06461538461538463
13,2016-11-16,30700,31850,30350,31400,50178,0.03289473684210531
14,2016-11-17,31400,31750,31100,31400,16505,0.0
15,2016-11-18,31099,31750,29850,30200,48262,-0.03821656050955413
16,2016-11-21,30700,30700,27700,27700,58877,-0.08278145695364236
17,2016-11-22,27400,27849,25700,26000,64743,-0.06137184115523464
18,2016-11-23,26000,27200,26000,26500,34903,0.019230769230769162
19,2016-11-24,27100,27100,24400,24400,46311,-0.0792452830188679
20,2016-11-25,24300,25550,23550,25500,66521,0.04508196721311486
21,2016-11-28,25100,25300,24625,25200,37611,-0.0117647058823529
22,2016-11-29,25150,26599,24999,26100,46103,0.03571428571428581
23,2016-11-30,25700,26350,25300,25850,20040,-0.009578544061302652
24,2016-12-01,26500,27100,25500,26700,26361,0.03288201160541582
25,2016-12-02,26299,27099,26200,26200,12087,-0.01872659176029967
26,2016-12-05,25800,26750,25050,26300,22035,0.003816793893129722
27,2016-12-06,26400,26950,26000,26400,7210,0.0038022813688212143
28,2016-12-07,26150,26750,25800,26000,8171,-0.015151515151515138
29,2016-12-08,25750,26700,25350,26300,22365,0.011538461538461497
30,2016-12-09,26700,28250,26200,28100,43461,0.06844106463878319
31,2016-12-12,28250,28600,27600,28400,32888,0.01067615658362997
32,2016-12-13,28600,28700,27950,28250,10303,-0.005281690140845119
33,2016-12-14,28350,28600,27900,28000,11483,-0.008849557522123908
34,2016-12-15,27750,28400,27700,28000,16490,0.0
35,2016-12-16,28300,28650,28000,28550,18152,0.019642857142857073
36,2016-12-19,28550,28550,27650,28050,9036,-0.017513134851138368
37,2016-12-20,27600,28049,27050,27550,13355,-0.017825311942959
38,2016-12-21,28150,28150,26700,26750,13692,-0.029038112522686066
39,2016-12-22,26600,26800,26050,26200,15109,-0.020560747663551426
40,2016-12-23,26200,26950,26200,26500,10796,0.011450381679389388
41,2016-12-26,27000,28550,26650,28450,50041,0.07358490566037745
42,2016-12-27,28750,28750,27700,27850,18174,-0.02108963093145866
43,2016-12-28,27849,28049,27000,27600,6735,-0.008976660682226245
44,2016-12-29,27400,28000,27400,28000,7882,0.01449275362318847
45,2017-01-02,27900,27900,25800,26550,31614,-0.051785714285714324
46,2017-01-03,26300,26400,25950,26050,14857,-0.01883239171374762
47,2017-01-04,26000,26400,25450,25600,16295,-0.017274472168905985
48,2017-01-05,25750,25950,25350,25900,9653,0.01171875
49,2017-01-06,25750,26900,25700,26700,9367,0.030888030888030826
50,2017-01-09,26400,26850,26050,26100,14417,-0.022471910112359605
51,2017-01-10,26300,26450,25200,25450,20483,-0.02490421455938696
52,2017-01-11,25100,25399,24225,25100,42555,-0.013752455795677854
53,2017-01-12,25199,26249,24675,25750,22320,0.02589641434262946
54,2017-01-13,25550,26750,25550,26250,25018,0.01941747572815533
55,2017-01-16,26000,26800,25850,26500,22426,0.00952380952380949
56,2017-01-17,26850,29350,26550,28850,108277,0.08867924528301896
57,2017-01-18,28750,29999,28150,29750,64786,0.03119584055459268
58,2017-01-19,30050,30350,28650,30350,62628,0.020168067226890685
59,2017-01-20,30350,30550,29500,30350,48836,0.0
60,2017-01-23,30450,30450,29250,29250,16802,-0.036243822075782584
61,2017-01-24,28750,30700,28750,29900,53210,0.022222222222222143
62,2017-01-25,29900,30750,29500,30550,38056,0.021739130434782705
63,2017-01-26,30450,31000,29100,29750,46005,-0.026186579378068786
64,2017-01-31,28200,29950,27550,29650,116392,-0.003361344537815114
65,2017-02-01,29100,30750,29050,29950,48372,0.010118043844856706
66,2017-02-02,29950,30200,29000,30200,41717,0.008347245409014992
67,2017-02-03,30300,30350,29350,29900,30927,-0.009933774834437137
68,2017-02-06,29899,30200,28850,30200,24258,0.010033444816053505
69,2017-02-07,30200,30250,29799,30100,6702,-0.0033112582781457123
70,2017-02-08,30250,30250,29350,29850,20934,-0.00830564784053156
71,2017-02-09,30000,30900,29350,30800,28850,0.031825795644891075
72,2017-02-10,31000,31000,29700,30400,29306,-0.012987012987012991
73,2017-02-13,30400,31250,29950,30950,32230,0.018092105263157965
74,2017-02-14,30950,34000,30500,33250,116613,0.07431340872374803
75,2017-02-15,33450,34500,32800,32850,62826,-0.012030075187969946
76,2017-02-16,33400,34500,32900,34150,50757,0.03957382039573831
77,2017-02-17,34000,34500,33450,33450,27234,-0.020497803806734938
78,2017-02-20,33450,34950,31750,34750,95081,0.038863976083707064
79,2017-02-21,35550,35600,33950,34500,47967,-0.007194244604316502
80,2017-02-22,34500,34500,32950,33250,61170,-0.036231884057971064
81,2017-02-23,33550,33600,32050,32100,37275,-0.0345864661654135
82,2017-02-24,32399,36750,31850,33700,142209,0.049844236760124616
83,2017-02-27,34050,35200,33200,34300,59941,0.017804154302670572
84,2017-02-28,34200,34600,33550,33800,22925,-0.014577259475218707
85,2017-03-02,33800,33800,31300,31600,55570,-0.0650887573964497
86,2017-03-03,30950,30950,28350,29950,125754,-0.05221518987341767
87,2017-03-06,29399,30750,29399,30700,30505,0.025041736227044975
88,2017-03-07,30300,31700,30200,31050,34640,0.01140065146579805
89,2017-03-08,31000,31500,30400,31450,23490,0.012882447665056418
90,2017-03-09,31450,32400,31400,31800,25040,0.0111287758346581
91,2017-03-10,31850,34000,30299,31800,73294,0.0
92,2017-03-13,31599,32600,31599,31950,28386,0.004716981132075526
93,2017-03-14,32000,32000,31200,31450,31150,-0.015649452269170583
94,2017-03-15,31200,31450,30200,31200,42503,-0.007949125596184436
95,2017-03-16,30999,31400,30600,31100,20700,-0.0032051282051281937
96,2017-03-17,31100,31900,30700,31900,46063,0.025723472668810254
97,2017-03-20,31400,31800,31000,31050,26370,-0.026645768025078342
98,2017-03-21,31300,31300,30500,30900,22141,-0.004830917874396157
99,2017-03-22,30550,31200,30550,30800,12837,-0.003236245954692518
100,2017-03-23,30850,31400,30550,30700,11064,-0.0032467532467532756
101,2017-03-24,31000,31950,30700,31950,31550,0.04071661237785018
102,2017-03-27,31950,32250,31500,31900,14299,-0.0015649452269170805
103,2017-03-28,32200,32300,31550,32150,10285,0.00783699059561127
104,2017-03-29,32150,32450,31800,32100,13308,-0.0015552099533436836
105,2017-03-30,31950,32000,31000,31150,29203,-0.029595015576323935
106,2017-03-31,31250,31700,31150,31650,8920,0.01605136436597121
107,2017-04-03,31750,32750,31600,32400,23166,0.023696682464454888
108,2017-04-04,32400,33950,32400,33100,68838,0.021604938271605034
109,2017-04-05,33600,33800,32350,33000,36659,-0.0030211480362537513
110,2017-04-06,33000,33500,32600,32750,14265,-0.007575757575757569
111,2017-04-07,32900,33700,32900,33500,22606,0.022900763358778553
112,2017-04-10,33500,33500,32650,33300,26311,-0.005970149253731294
113,2017-04-11,33300,33850,32850,33200,12021,-0.0030030030030030463
114,2017-04-12,33650,33650,32450,32450,11626,-0.02259036144578308
115,2017-04-13,32800,33600,32450,33550,30571,0.03389830508474567
116,2017-04-14,33550,34000,32750,33600,17645,0.0014903129657228842
117,2017-04-17,33600,35200,33450,35000,39677,0.04166666666666674
118,2017-04-18,35150,35300,34500,34900,28160,-0.0028571428571428914
119,2017-04-19,34650,36450,34400,36300,40534,0.04011461318051568
120,2017-04-20,36400,36400,35500,35600,14195,-0.019283746556473802
121,2017-04-21,36100,36100,34750,34850,19305,-0.021067415730337102
122,2017-04-24,34900,34900,33450,33800,28787,-0.03012912482065999
123,2017-04-25,34000,34100,32550,33200,17248,-0.017751479289940808
124,2017-04-26,33500,33600,32800,33600,16603,0.012048192771084265
125,2017-04-27,33300,33450,32850,32950,16306,-0.019345238095238138
126,2017-04-28,33050,33050,32650,32950,11581,0.0
127,2017-05-02,33200,34000,32550,33300,18591,0.01062215477996964
128,2017-05-04,33400,34950,33300,34750,20895,0.04354354354354362
129,2017-05-08,34800,35200,34150,34650,18036,-0.0028776978417266452
130,2017-05-10,35000,35000,34000,34350,41209,-0.008658008658008698
131,2017-05-11,34450,34650,33550,34350,24379,0.0
132,2017-05-12,33900,34250,32050,32050,80853,-0.06695778748180492
133,2017-05-15,32150,33700,32150,33200,104176,0.03588143525741039
134,2017-05-16,33350,34100,32350,33500,31153,0.009036144578313143
135,2017-05-17,34850,36850,34850,36250,178461,0.08208955223880587
136,2017-05-18,35950,37400,35900,37300,59505,0.028965517241379413
137,2017-05-19,37350,37650,36350,37150,47700,-0.004021447721179627
138,2017-05-22,37350,37800,36500,37600,23042,0.01211305518169592
