,Date,Open,High,Low,Close,Volume,Change
0,2019-10-29,2004,2014,2004,2005,1596590,
1,2019-10-30,2009,2014,2004,2010,178170,0.0024937655860348684
2,2019-10-31,2009,2014,2004,2010,120345,0.0
3,2019-11-01,2004,2014,2004,2015,78680,0.0024875621890547706
4,2019-11-04,2014,2019,2009,2020,38491,0.002481389578163684
5,2019-11-05,2009,2019,2009,2020,12145,0.0
6,2019-11-06,2009,2014,2004,2010,48958,-0.004950495049504955
7,2019-11-07,2004,2014,2004,2015,26522,0.0024875621890547706
8,2019-11-08,2014,2019,2004,2020,10734,0.002481389578163684
9,2019-11-11,2014,2019,2009,2015,26171,-0.0024752475247524774
10,2019-11-12,2009,2019,2004,2020,46146,0.002481389578163684
11,2019-11-13,2004,2019,2004,2020,4577,0.0
12,2019-11-14,2009,2019,2009,2010,6736,-0.004950495049504955
13,2019-11-15,2009,2014,2009,2015,11437,0.0024875621890547706
14,2019-11-18,2014,2014,2009,2015,9467,0.0
15,2019-11-19,2014,2019,2014,2015,8141,0.0
16,2019-11-20,2014,2014,2004,2015,3301,0.0
17,2019-11-21,2014,2014,2004,2015,5529,0.0
18,2019-11-22,2014,2024,2014,2025,26859,0.00496277915632759
19,2019-11-25,2024,2024,2009,2025,14006,0.0
20,2019-11-26,2014,2024,2014,2025,22649,0.0
21,2019-11-27,2024,2024,2019,2025,24669,0.0
22,2019-11-28,2024,2024,2019,2025,31462,0.0
23,2019-11-29,2024,2029,2019,2030,29458,0.0024691358024691024
24,2019-12-02,2024,2034,2019,2030,8050,0.0
25,2019-12-03,2039,2039,2019,2030,3236,0.0
26,2019-12-04,2024,2029,2024,2030,2025,0.0
27,2019-12-05,2019,2029,2014,2030,4156,0.0
28,2019-12-06,2029,2029,2004,2020,1977,-0.0049261083743842304
29,2019-12-09,2014,2019,2004,2020,22189,0.0
30,2019-12-10,2009,2014,2009,2015,5319,-0.0024752475247524774
31,2019-12-11,2004,2019,2004,2020,14357,0.002481389578163684
32,2019-12-12,2019,2019,2019,2020,1,0.0
33,2019-12-13,2009,2019,2004,2020,12473,0.0
34,2019-12-16,2009,2009,2009,2010,0,-0.004950495049504955
35,2019-12-17,2009,2009,1999,2010,19340,0.0
36,2019-12-18,2009,2014,2009,2010,5376,0.0
37,2019-12-19,2014,2014,2009,2010,1196,0.0
38,2019-12-20,2004,2004,1999,2005,2223,-0.0024875621890547706
39,2019-12-23,1999,2009,1995,2010,7968,0.0024937655860348684
40,2019-12-24,2009,2009,2009,2010,0,0.0
41,2019-12-26,2009,2009,2009,2010,0,0.0
42,2019-12-27,2009,2009,2009,2010,0,0.0
43,2019-12-30,2009,2044,2009,2040,35981,0.014925373134328401
44,2020-01-02,2029,2034,2014,2030,17,-0.004901960784313708
45,2020-01-03,2034,2034,2004,2035,102,0.0024630541871921707
46,2020-01-06,2024,2034,2024,2025,2001,-0.004914004914004955
47,2020-01-07,2014,2024,2014,2025,1438,0.0
48,2020-01-08,2034,2034,2019,2020,1026,-0.0024691358024691024
49,2020-01-09,2034,2034,1999,2025,20041,0.0024752475247524774
50,2020-01-10,2019,2024,2004,2005,18172,-0.00987654320987652
51,2020-01-13,2024,2024,2024,2025,1,0.009975062344139696
52,2020-01-14,2019,2024,2009,2025,18756,0.0
53,2020-01-15,2014,2014,2014,2015,1008,-0.004938271604938316
54,2020-01-16,2024,2024,2004,2015,21566,0.0
55,2020-01-17,2024,2024,2004,2025,1072,0.00496277915632759
56,2020-01-20,2004,2024,2004,2020,22796,-0.0024691358024691024
57,2020-01-21,2024,2024,2004,2025,10210,0.0024752475247524774
58,2020-01-22,2019,2019,2019,2020,91,-0.0024691358024691024
59,2020-01-23,2009,2019,2009,2020,51,0.0
60,2020-01-28,2004,2019,2004,2020,303,0.0
61,2020-01-29,2004,2024,2004,2020,2532,0.0
62,2020-01-30,2009,2019,2009,2020,227,0.0
63,2020-01-31,2029,2029,2009,2025,790,0.0024752475247524774
64,2020-02-03,2014,2024,2014,2020,8007,-0.0024691358024691024
65,2020-02-04,2024,2024,2009,2010,3364,-0.004950495049504955
66,2020-02-05,1999,2009,1999,2010,78,0.0
67,2020-02-06,2004,2024,2004,2025,4562,0.00746268656716409
68,2020-02-07,2024,2024,2014,2015,6850,-0.004938271604938316
69,2020-02-10,2004,2024,2004,2025,1718,0.00496277915632759
70,2020-02-11,2014,2019,2014,2020,2580,-0.0024691358024691024
71,2020-02-12,2024,2024,2004,2025,5002,0.0024752475247524774
