,Date,Open,High,Low,Close,Volume,Change
0,2016-10-18,17925,19741,16108,16300,3226020,
1,2016-10-19,16108,16300,15152,15440,452134,-0.05276073619631905
2,2016-10-20,15630,18259,15535,16826,1661635,0.08976683937823826
3,2016-10-21,16921,19980,16252,18212,2045646,0.08237251872102691
4,2016-10-24,18259,19454,17781,18929,1345169,0.03936964638699769
5,2016-10-25,18690,18833,17399,17973,670489,-0.05050451687886315
6,2016-10-26,18164,18737,16395,17352,617036,-0.03455182774161247
7,2016-10-27,17303,17638,16586,17017,170623,-0.01930613185799912
8,2016-10-28,16825,17399,16347,16348,138519,-0.03931362754892165
9,2016-10-31,16252,16491,15343,15679,109992,-0.04092243699535114
10,2016-11-01,15439,16443,15439,15535,92618,-0.009184259200204048
11,2016-11-02,15535,15678,14292,14388,127106,-0.07383327969102027
12,2016-11-03,14340,14818,14101,14388,89615,0.0
13,2016-11-04,14292,14818,13909,14388,39244,0.0
14,2016-11-07,14435,14722,14101,14388,42461,0.0
15,2016-11-08,14674,15869,14579,15392,158425,0.069780372532666
16,2016-11-09,15487,16013,13862,14436,131993,-0.06211018711018712
17,2016-11-10,14865,15582,14674,15296,86931,0.05957328899972292
18,2016-11-11,14913,16682,14865,16539,142404,0.0812630753138075
19,2016-11-14,16491,16491,15821,16348,61443,-0.01154846121289077
20,2016-11-15,16204,17017,15774,16874,83710,0.032175189625642364
21,2016-11-16,17160,17208,16539,16969,53426,0.005629963257081982
22,2016-11-17,16969,17686,16825,17208,109614,0.014084507042253502
23,2016-11-18,17351,17495,16730,17113,55742,-0.005520688052068845
24,2016-11-21,17112,17399,16634,17017,24118,-0.0056097703500263
25,2016-11-22,16873,17256,16682,16874,28390,-0.008403361344537785
26,2016-11-23,16873,17351,15343,15679,120331,-0.07081901149697756
27,2016-11-24,15343,15678,15104,15296,70449,-0.02442757828943176
28,2016-11-25,15104,15582,15057,15487,14245,0.012486924686192502
29,2016-11-28,15535,16204,15487,15774,34910,0.018531671724672405
30,2016-11-29,15821,16586,15582,15679,66223,-0.006022568784075033
31,2016-11-30,15869,16395,15630,16157,31980,0.030486638178455205
32,2016-12-01,16060,16539,15869,16252,21898,0.005879804419137269
33,2016-12-02,15965,16013,15296,15726,53472,-0.03236524735417179
34,2016-12-05,15726,15726,14770,15057,56581,-0.042541014879816874
35,2016-12-06,15152,15439,14961,15105,11643,0.003187886033074294
36,2016-12-07,14913,15152,14387,14627,38331,-0.031645150612380046
37,2016-12-08,14531,15009,14531,14914,42064,0.019621248376290312
38,2016-12-09,14626,15630,14626,15440,31853,0.03526887488266062
39,2016-12-12,15343,15678,15248,15296,34022,-0.00932642487046631
40,2016-12-13,15296,16013,15057,15679,52065,0.025039225941422494
41,2016-12-14,15535,15965,15296,15296,56430,-0.02442757828943176
42,2016-12-15,15391,15726,14913,15296,96123,0.0
43,2016-12-16,15487,15726,15296,15487,53769,0.012486924686192502
44,2016-12-19,15487,15487,15104,15296,12894,-0.012332924388196553
45,2016-12-20,15343,15343,14579,14818,54387,-0.03125
46,2016-12-21,14818,14818,14196,14388,74202,-0.02901876096639222
47,2016-12-22,14435,14483,13288,13575,187754,-0.056505421184320226
48,2016-12-23,13670,14244,13575,14149,70158,0.042283609576427184
49,2016-12-26,14244,14913,14053,14818,80180,0.047282493462435404
50,2016-12-27,14818,14865,14435,14770,29392,-0.003239303549736783
51,2016-12-28,14865,14865,14340,14770,15800,0.0
52,2016-12-29,14483,15630,14483,15535,70837,0.05179417738659442
53,2017-01-02,15774,16395,15343,16157,135256,0.0400386224654008
54,2017-01-03,16252,16969,16252,16348,145783,0.011821501516370514
55,2017-01-04,16539,16539,16060,16252,46533,-0.005872277954489857
56,2017-01-05,16252,17064,16252,16969,61951,0.044117647058823595
57,2017-01-06,16969,17208,16395,16778,34062,-0.011255819435441072
58,2017-01-09,16778,17017,16300,16635,26981,-0.00852306591965668
59,2017-01-10,16778,16778,15582,16252,79365,-0.023023745115719918
60,2017-01-11,16443,17064,15869,16969,98713,0.044117647058823595
61,2017-01-12,17112,17112,16204,16635,35741,-0.019682951264069826
62,2017-01-13,16395,17064,16013,17017,59096,0.022963630898707565
63,2017-01-16,16921,17399,16586,16874,54284,-0.008403361344537785
64,2017-01-17,16873,17160,16300,16635,57363,-0.014163802299395511
65,2017-01-18,16586,17303,15917,17113,143052,0.028734595731890522
66,2017-01-19,17829,19024,17208,17208,292722,0.005551335242213629
67,2017-01-20,16921,17734,16921,17352,109444,0.008368200836819994
68,2017-01-23,17351,17447,16634,16635,89863,-0.041320885200553215
69,2017-01-24,16634,16778,16108,16348,55242,-0.01725278028253685
70,2017-01-25,16252,16491,16013,16013,47652,-0.020491803278688492
71,2017-01-26,16013,16252,15821,16252,61405,0.014925373134328401
72,2017-01-31,16060,16395,16013,16109,41559,-0.008798917056362265
73,2017-02-01,16060,16539,15630,16348,97792,0.014836426842137929
74,2017-02-02,16443,16491,16060,16061,57723,-0.01755566430144362
75,2017-02-03,15917,16252,15917,16061,21968,0.0
76,2017-02-06,16300,16347,15965,16252,17771,0.011892161135670154
77,2017-02-07,16252,16825,16013,16826,73227,0.03531873000246133
78,2017-02-08,16921,17160,16634,16921,41218,0.0056460240104601045
79,2017-02-09,16921,17017,16586,16682,18483,-0.014124460729271315
80,2017-02-10,16969,16969,16395,16635,24428,-0.00281740798465413
81,2017-02-13,16634,16969,16586,16874,22318,0.014367297865945261
82,2017-02-14,17017,17064,16539,16730,23837,-0.00853383904231364
83,2017-02-15,16825,16921,16491,16826,19691,0.005738194859533863
84,2017-02-16,16825,16825,16347,16443,20553,-0.02276239153690718
85,2017-02-17,16347,16443,16108,16157,23007,-0.017393419692270262
86,2017-02-20,16347,16443,16060,16061,26376,-0.005941697097233356
87,2017-02-21,16060,16395,15821,16348,28239,0.017869373015378942
88,2017-02-22,16730,16778,16156,16443,76968,0.005811108392463904
89,2017-02-23,16060,16108,14961,15153,332114,-0.07845283707352668
90,2017-02-24,15104,15582,14961,15440,145764,0.01894014386590115
91,2017-02-27,15487,15487,15057,15057,48177,-0.024805699481865284
92,2017-02-28,14961,15439,14961,15105,76070,0.003187886033074294
93,2017-03-02,15104,15104,14435,14770,100211,-0.022178086726249546
94,2017-03-03,14531,14818,14244,14627,49696,-0.00968178740690584
95,2017-03-06,14387,14579,14340,14436,37244,-0.013058043344499892
96,2017-03-07,14483,15057,14387,14531,56346,0.0065807702964810755
97,2017-03-08,14579,14626,14387,14484,20112,-0.003234464248847324
98,2017-03-09,14531,14865,14483,14770,27980,0.019745926539630032
99,2017-03-10,14818,14865,14579,14866,19507,0.006499661475964702
100,2017-03-13,14913,15009,14722,14962,31580,0.006457688685591378
101,2017-03-14,14961,14961,14674,14818,22248,-0.00962438176714342
102,2017-03-15,14818,14865,14435,14627,27176,-0.012889728708327719
103,2017-03-16,14674,14722,14292,14484,36744,-0.009776440828604627
104,2017-03-17,14531,14626,14340,14340,30066,-0.009942004971002505
105,2017-03-20,14387,14483,13862,14006,29789,-0.023291492329149288
106,2017-03-21,14101,14101,13670,13862,27205,-0.010281308010852475
107,2017-03-22,13909,14005,13670,13814,38024,-0.0034627037945462735
108,2017-03-23,13909,13909,13049,13241,115107,-0.04147965831764877
109,2017-03-24,13192,13384,13001,13289,42521,0.003625103844120625
110,2017-03-27,13336,13384,13145,13193,23310,-0.007224019866054587
111,2017-03-28,13384,13384,13097,13241,16240,0.0036382930341847253
112,2017-03-29,13479,13479,13049,13050,44536,-0.014424892379729659
113,2017-03-30,13097,13145,12571,13097,70138,0.003601532567049759
114,2017-03-31,13192,13192,12714,12811,70887,-0.021837061922577727
115,2017-04-03,12858,12858,12571,12811,63485,0.0
116,2017-04-04,12810,13240,12619,13193,62367,0.029818125048786115
117,2017-04-05,13192,14053,13145,13623,162501,0.03259304176457212
118,2017-04-06,13575,14244,13479,14006,100272,0.02811421860089558
119,2017-04-07,14053,14053,13814,13910,37013,-0.006854205340568353
120,2017-04-10,14053,14053,13431,13480,40619,-0.030913012221423397
121,2017-04-11,13527,13527,13145,13336,32348,-0.010682492581602365
122,2017-04-12,13240,13479,13240,13336,8426,0.0
123,2017-04-13,13431,13527,13145,13289,21831,-0.003524295140971856
124,2017-04-14,13384,13527,13097,13193,33327,-0.007224019866054587
125,2017-04-17,13145,13766,13145,13767,24192,0.043507920867126515
126,2017-04-18,13957,13957,13670,13862,43648,0.006900559308491427
127,2017-04-19,13909,13909,13623,13767,24933,-0.0068532679267061525
128,2017-04-20,13909,13909,13575,13719,8693,-0.0034865983874482476
129,2017-04-21,13670,13718,13575,13623,11923,-0.006997594576864219
130,2017-04-24,13670,13670,13288,13336,23810,-0.021067312633047064
131,2017-04-25,13431,13431,13097,13241,28760,-0.007123575284943007
132,2017-04-26,13240,13623,13240,13480,16105,0.018049996223850062
133,2017-04-27,13718,13718,13431,13575,12981,0.0070474777448070736
134,2017-04-28,13527,13670,13288,13289,19710,-0.021068139963167587
