,Date,Open,High,Low,Close,Volume,Change
0,2021-11-18,5490,5540,5370,5370,16661326,
1,2021-11-19,5380,5400,5310,5370,1184820,0.0
2,2021-11-22,5370,5380,5320,5360,918621,-0.0018621973929237035
3,2021-11-23,5370,5370,5340,5360,387210,0.0
4,2021-11-24,5360,5410,5340,5400,621314,0.00746268656716409
5,2021-11-25,5410,5420,5380,5420,282659,0.0037037037037037646
6,2021-11-26,5420,5420,5350,5380,613559,-0.0073800738007380184
7,2021-11-29,5300,5340,5270,5330,688586,-0.009293680297397744
8,2021-11-30,5340,5340,5170,5200,987285,-0.024390243902439046
9,2021-12-01,5220,5270,5120,5260,451272,0.011538461538461497
10,2021-12-02,5240,5290,5200,5280,275142,0.0038022813688212143
11,2021-12-03,5250,5270,5210,5270,279470,-0.0018939393939394478
12,2021-12-06,5220,5250,5190,5240,273036,-0.005692599620493399
13,2021-12-07,5240,5250,5210,5220,145593,-0.003816793893129722
14,2021-12-08,5230,5270,5200,5220,210837,0.0
15,2021-12-09,5230,5240,5200,5210,180418,-0.0019157088122605526
16,2021-12-10,5180,5220,5180,5200,215767,-0.0019193857965451588
17,2021-12-13,5200,5230,5200,5200,149244,0.0
18,2021-12-14,5210,5230,5190,5230,190552,0.005769230769230749
19,2021-12-15,5210,5280,5200,5270,181362,0.007648183556405286
20,2021-12-16,5270,5270,5220,5250,144883,-0.003795066413662229
21,2021-12-17,5250,5270,5240,5260,67717,0.0019047619047618536
22,2021-12-20,5190,5230,5170,5200,1076925,-0.011406844106463865
23,2021-12-21,5210,5270,5170,5220,673464,0.0038461538461538325
24,2021-12-22,5230,5250,5200,5220,139044,0.0
25,2021-12-23,5220,5250,5220,5250,125679,0.005747126436781658
26,2021-12-24,5250,5250,5220,5230,116401,-0.003809523809523818
27,2021-12-27,5230,5260,5210,5250,142006,0.003824091778202643
28,2021-12-28,5260,5270,5230,5250,298005,0.0
29,2021-12-29,5190,5230,5170,5200,149688,-0.00952380952380949
30,2021-12-30,5200,5210,5180,5190,192123,-0.0019230769230769162
31,2022-01-03,5190,5230,5170,5200,171275,0.0019267822736031004
32,2022-01-04,5200,5210,5190,5190,149892,-0.0019230769230769162
33,2022-01-05,5190,5200,5180,5190,91057,0.0
34,2022-01-06,5170,5200,5160,5170,122976,-0.003853564547206201
35,2022-01-07,5170,5200,5160,5170,138443,0.0
36,2022-01-10,5170,5180,5150,5150,176472,-0.003868471953578312
37,2022-01-11,5170,5180,5150,5180,133359,0.005825242718446644
38,2022-01-12,5160,5190,5140,5180,178708,0.0
39,2022-01-13,5160,5180,5140,5150,206089,-0.00579150579150578
40,2022-01-14,5140,5140,5090,5110,274545,-0.007766990291262155
41,2022-01-17,5100,5110,5020,5060,333012,-0.009784735812133127
42,2022-01-18,5070,5100,5060,5070,85399,0.0019762845849802257
43,2022-01-19,5070,5100,5040,5090,105068,0.0039447731755424265
44,2022-01-20,5080,5140,5050,5130,71843,0.007858546168958647
45,2022-01-21,5120,5150,5090,5130,79963,0.0
46,2022-01-24,5140,5140,5070,5130,75125,0.0
47,2022-01-25,5100,5130,5040,5080,126143,-0.00974658869395717
48,2022-01-26,5050,5120,5050,5090,49775,0.0019685039370078705
49,2022-01-27,5090,5090,5030,5040,128157,-0.00982318271119842
50,2022-01-28,5040,5090,5040,5060,73727,0.003968253968253954
51,2022-02-03,5090,5140,5070,5110,108706,0.009881422924901129
52,2022-02-04,5100,5120,5090,5090,58040,-0.003913894324853229
53,2022-02-07,5120,5120,5080,5110,96365,0.003929273084479323
54,2022-02-08,5110,5150,5090,5100,104526,-0.00195694716242667
55,2022-02-09,5130,5140,5100,5120,77936,0.0039215686274509665
56,2022-02-10,5140,5160,5110,5140,74159,0.00390625
57,2022-02-11,5130,5160,5120,5140,63961,0.0
58,2022-02-14,5110,5140,5090,5130,58140,-0.0019455252918287869
59,2022-02-15,5130,5140,5100,5130,49969,0.0
60,2022-02-16,5130,5160,5120,5160,60412,0.005847953216374213
61,2022-02-17,5160,5190,5140,5180,75439,0.003875968992248069
62,2022-02-18,5130,5210,5130,5200,597842,0.0038610038610038533
63,2022-02-21,5170,5230,5170,5230,268948,0.005769230769230749
64,2022-02-22,5220,5220,5190,5210,101781,-0.003824091778202643
65,2022-02-23,5230,5230,5180,5220,64847,0.0019193857965451588
66,2022-02-24,5210,5220,5170,5200,109717,-0.003831417624521105
67,2022-02-25,5190,5220,5180,5210,74693,0.0019230769230769162
68,2022-02-28,5190,5230,5180,5220,69219,0.0019193857965451588
69,2022-03-02,5230,5240,5190,5230,127470,0.0019157088122605526
70,2022-03-03,5240,5250,5200,5240,178479,0.0019120458891013214
71,2022-03-04,5250,5250,5220,5230,147327,-0.001908396946564861
72,2022-03-07,5230,5250,5180,5220,118355,-0.0019120458891013214
73,2022-03-08,5200,5250,5190,5240,51417,0.003831417624521105
74,2022-03-10,5250,5260,5220,5250,124618,0.001908396946564972
75,2022-03-11,5250,5260,5220,5250,60913,0.0
76,2022-03-14,5250,5260,5220,5250,90416,0.0
77,2022-03-15,5260,5260,5220,5240,53385,-0.0019047619047618536
78,2022-03-16,5250,5250,5220,5250,45453,0.001908396946564972
79,2022-03-17,5250,5250,5220,5220,58074,-0.005714285714285672
80,2022-03-18,5220,5240,5190,5220,117287,0.0
81,2022-03-21,5220,5230,5190,5230,96051,0.0019157088122605526
82,2022-03-22,5230,5240,5210,5240,64494,0.0019120458891013214
83,2022-03-23,5240,5240,5210,5230,36173,-0.001908396946564861
84,2022-03-24,5210,5240,5210,5230,61847,0.0
85,2022-03-25,5230,5250,5230,5240,46891,0.0019120458891013214
86,2022-03-28,5240,5250,5220,5240,77366,0.0
87,2022-03-29,5240,5250,5230,5250,89122,0.001908396946564972
88,2022-03-30,5250,5270,5240,5270,115359,0.003809523809523707
89,2022-03-31,5260,5330,5260,5330,197190,0.011385199240986799
90,2022-04-01,5320,5370,5290,5360,214791,0.0056285178236397115
91,2022-04-04,5340,5370,5330,5370,111381,0.001865671641791078
92,2022-04-05,5350,5380,5340,5350,170863,-0.003724394785847296
93,2022-04-06,5360,5370,5330,5350,103323,0.0
94,2022-04-07,5380,5380,5340,5370,63824,0.0037383177570093906
95,2022-04-08,5360,5380,5340,5380,153148,0.0018621973929235924
96,2022-04-11,5390,5390,5370,5390,78502,0.0018587360594795044
